classname,day,time,building,room
General Chem For Engineers 2,Th,08:00 AM-08:50 AM,CHVRN,152
General Chem For Engineers 2,Tu,08:00 AM-08:50 AM,CHVRN,152
Organic Chemistry 2,MoWeFr,09:00 AM-09:50 AM,CHVRN,152
Organic Chemistry 1,TuTh,09:30 AM-10:45 AM,CHVRN,152
Organic Chemistry 1,MoWeFr,10:00 AM-10:50 AM,CHVRN,152
General Chemistry 2,MoWeFr,11:00 AM-11:50 AM,CHVRN,152
General Chemistry 2,TuTh,11:00 AM-12:15 PM,CHVRN,152
Principles Of Organic Chemstry,MoWeFr,01:00 PM-01:50 PM,CHVRN,154
Seminar In Inorganic Chemistry,Th,01:00 PM-04:55 PM,CHVRN,154
Inorganic Chemistry,MoWeFr,02:00 PM-02:50 PM,CHVRN,154
Chemical Biology,MoWeFr,03:00 PM-03:50 PM,CHVRN,154
Intermediate Physical Chemstry,MoWe,04:00 PM-05:15 PM,CHVRN,154
Introduction To Thermodynamics,MoWeFr,05:00 PM-05:50 PM,CHVRN,154
Preparation General Chemistry,MoWe,06:00 PM-07:15 PM,CHVRN,154
Uhc Organic Chemistry 2,MoWeFr,09:00 AM-09:50 AM,CHVRN,154
Uhc General Chemistry 2,TuTh,09:30 AM-10:45 AM,CHVRN,154
Uhc General Chem For Enginrs 2,TuTh,09:30 AM-10:45 AM,CHVRN,154
Intro Analytical Chemistry,MoWeFr,10:00 AM-10:50 AM,CHVRN,154
Mathematics For Chemistry,MoWeFr,11:00 AM-11:50 AM,CHVRN,154
Organic Chemistry 2,TuTh,11:00 AM-12:15 PM,CHVRN,154
Directed Study,Fr,12:00 PM-12:50 PM,CHVRN,154
Synth & Charctrztn Polymrs Lab,Th,01:00 PM-04:50 PM,CHVRN,410
Synth & Charctrztn Polymrs Lab,Th,06:00 PM-09:50 PM,CHVRN,410
Uhc Organic Laboratory,Tu,06:00 PM-09:50 PM,CHVRN,410
Advanced Inorganic Laboratory,Fr,08:00 AM-11:50 AM,CHVRN,410
Advanced Inorganic Laboratory,Th,08:00 AM-11:50 AM,CHVRN,410
Uhc Organic Laboratory,Tu,01:00 PM-05:00 PM,CHVRN,706
Seminar In Analytcal Chemistry,We,03:00 PM-05:45 PM,CHVRN,706
Esl Reading And Vocabulary,TuTh,02:30 PM-03:45 PM,CL,113
Prof German 2: Ger Bus Wrl,TuTh,04:00 PM-05:15 PM,CL,113
Radiation Detection & Msrm,We,04:00 PM-05:50 PM,CL,113
Public Speaking,Mo,06:00 PM-08:30 PM,CL,113
Intro To Biomedical Ethics,Th,06:00 PM-08:30 PM,CL,113
Seminar In Composition,Tu,06:00 PM-08:30 PM,CL,113
Roman Civilization,We,06:00 PM-08:30 PM,CL,113
Introdctn To Ethcs/Writ Prac,TuTh,10:00 AM-10:50 AM,CL,113
Man & Cosmos In Renaissance,TuTh,01:00 PM-02:15 PM,CL,116
Health Psychology,TuTh,02:30 PM-03:45 PM,CL,116
Topics In Social Psychology,MoWe,03:00 PM-04:15 PM,CL,116
Race; Hist Biol Psy Philosophy,TuTh,04:00 PM-05:15 PM,CL,116
History Of Ethics,MoWe,06:00 PM-07:15 PM,CL,116
"Magic, Medicine And Science",Th,06:00 PM-08:30 PM,CL,116
Psychology Of Aging,TuTh,09:30 AM-10:45 AM,CL,116
"Magic, Medicine And Science",MoWeFr,11:00 AM-11:50 AM,CL,116
"Magic, Medicine And Science",MoWeFr,11:00 AM-11:50 AM,CL,116
Death in the Ancient Worl,TuTh,11:00 AM-12:15 PM,CL,116
Madness & Madmen In Russ Cul,TuTh,01:00 PM-02:15 PM,CL,119
Masterpieces 19thc Russian Li,TuTh,02:30 PM-03:45 PM,CL,119
Hindi 4,TuTh,04:00 PM-05:15 PM,CL,119
African American Folk Culture,We,06:00 PM-08:30 PM,CL,119
The Dramatic Imagination,We,06:00 PM-08:30 PM,CL,119
History Medicine & Health Care,TuTh,11:00 AM-12:15 PM,CL,119
History Medicine & Health Care,TuTh,11:00 AM-12:15 PM,CL,119
Hispanic Civilizations,TuTh,01:00 PM-02:15 PM,CL,121
Intermediate Spanish 4,MoWeFr,02:00 PM-02:50 PM,CL,121
Research Writing,TuTh,02:30 PM-03:45 PM,CL,121
Writing In The Legl Professns,TuTh,04:00 PM-05:15 PM,CL,121
Intro To Educatnal Evaluation,We,04:30 PM-07:00 PM,CL,121
Play Therapy And Field Work,Mo,04:30 PM-07:10 PM,CL,121
Medical Spanish,Tu,06:00 PM-08:25 PM,CL,121
Intro To Yiddish Lang And Cul,Th,06:00 PM-08:30 PM,CL,121
Introduction to Yiddish Language and Culture,Th,06:00 PM-08:30 PM,CL,121
Written Professnl Communictn,TuTh,09:30 AM-10:45 AM,CL,121
Intermediate German 1,MoWeFr,11:00 AM-11:50 AM,CL,121
20th Century Topics,TuTh,11:00 AM-12:15 PM,CL,121
Introduction to Translation Studies,TuTh,11:00 AM-12:15 PM,CL,121
Readings In Contemporary Lit 1,TuTh,01:00 PM-02:15 PM,CL,126
Non-Fiction Workshop,We,02:00 PM-04:50 PM,CL,126
Intermediate Polish 4,MoWe,04:00 PM-05:15 PM,CL,126
European Union Seminar,TuTh,09:30 AM-10:45 AM,CL,126
Anal Chrctrzn At Nano-Scale,Mo,04:00 PM-06:25 PM,CL,127
Intro Hispanic Literature 1,MoWeFr,01:00 PM-01:50 PM,CL,129
Masterpieces 20thc Russian Li,TuTh,01:00 PM-02:15 PM,CL,129
Spanish Applied Linguistics,MoWeFr,02:00 PM-02:50 PM,CL,129
Prof Writing Global Contexts,TuTh,02:30 PM-03:45 PM,CL,129
Seminar In Composition,MoWe,03:00 PM-04:15 PM,CL,129
Intermediate Latin: Verse,TuTh,04:00 PM-05:15 PM,CL,129
Russian Short Story In Contex,MoWe,04:30 PM-05:45 PM,CL,129
Russian Short Story In Contex,Tu,06:00 PM-08:25 PM,CL,129
Senior Seminar In Nonfiction,Th,06:00 PM-08:30 PM,CL,129
Public Relations Writing,We,06:00 PM-08:30 PM,CL,129
Intermediate Spanish 4,MoWeFr,09:00 AM-09:50 AM,CL,129
Hispanic Civilizations,TuTh,09:30 AM-10:45 AM,CL,129
Intermediate Hebrew 4,MoWeFr,11:00 AM-11:50 AM,CL,129
Written French 1,TuTh,11:00 AM-12:15 PM,CL,129
Psychology Senior Seminar,We,01:00 PM-01:50 PM,CL,130
Dvlpmntl Psych: Cognitv Develp,TuTh,01:00 PM-02:15 PM,CL,130
Topics In Social Psychology,TuTh,02:30 PM-03:45 PM,CL,130
Topics In Social Philosophy,MoWe,04:30 PM-05:45 PM,CL,130
Morality And Medicine,Mo,06:00 PM-08:30 PM,CL,130
Mind And Medicine,Th,06:00 PM-08:30 PM,CL,130
Adv Topcs Publc/Professnl Wri,Tu,06:00 PM-08:30 PM,CL,130
Developmental Psych: Infancy,We,06:00 PM-08:30 PM,CL,130
"Religion, Nature Environmen",TuTh,09:30 AM-10:45 AM,CL,130
Topics In Developmental Psych,TuTh,11:00 AM-12:15 PM,CL,130
Written Professnl Communictn,TuTh,02:30 PM-03:45 PM,CL,135
Histry Of Mdrn Phil/Writ Prac,MoWe,03:00 PM-03:50 PM,CL,135
Political Philosophy/Writ Prac,MoWe,04:00 PM-04:50 PM,CL,135
Written Professnl Communictn,TuTh,04:00 PM-05:15 PM,CL,135
Developmental Disabilities,We,05:00 PM-07:40 PM,CL,135
Seminar In Composition,Mo,06:00 PM-08:30 PM,CL,135
Elementary Spanish 1,MoTuWeThFr,09:00 AM-09:50 AM,CL,135
Elementary Spanish 1,MoTuWeThFr,10:00 AM-10:50 AM,CL,135
German Media,MoWeFr,11:00 AM-11:50 AM,CL,135
Latin American Drama,Tu,03:00 PM-05:25 PM,CL,136
Adv Bosnian/Croatian/Serbian 6,MoWe,04:30 PM-05:45 PM,CL,136
Latin American Novel,Tu,06:00 PM-08:30 PM,CL,136
Elementary Ukrainian 2,TuTh,09:30 AM-10:45 AM,CL,136
Intermediate Ukrainian 2,TuTh,11:00 AM-12:15 PM,CL,136
9th Century Topics,Mo,03:00 PM-05:25 PM,CL,137
Latin American 20thc Topics,We,03:00 PM-05:50 PM,CL,137
Masterpieces Of Chin Lit: Mdrn,TuTh,01:00 PM-02:15 PM,CL,139
Masterpieces Of Chin Lit Film,TuTh,01:00 PM-02:15 PM,CL,139
The World Of Japan,MoWe,03:00 PM-04:15 PM,CL,139
Introduction to Theory and Practice of Translation,MoWe,03:00 PM-04:15 PM,CL,139
The World Of Japan,MoWe,03:00 PM-04:15 PM,CL,139
History Of Africa Since 1800,TuTh,04:00 PM-05:15 PM,CL,139
History Of Africa Since 1800,TuTh,04:00 PM-05:15 PM,CL,139
Writing With Film,MoWe,04:30 PM-05:45 PM,CL,139
Introduction To Psychology,Th,06:00 PM-08:30 PM,CL,139
Sensation And Perception,Tu,06:00 PM-08:30 PM,CL,139
Causal Reasoning,TuTh,09:30 AM-10:45 AM,CL,139
East Europe Civilization,TuTh,11:00 AM-12:15 PM,CL,139
"Sex, Race, & Popular Culture",TuTh,01:00 PM-02:15 PM,CL,142
Political Parties & Elections,TuTh,02:30 PM-03:45 PM,CL,142
Modern Russian Culture,MoWe,03:00 PM-04:15 PM,CL,142
History Of Medicine In China,Th,06:00 PM-08:25 PM,CL,142
Western Civilization 2,Mo,06:00 PM-08:30 PM,CL,142
White Collar Crime,Tu,06:00 PM-08:30 PM,CL,142
Discourses In The Humanities,TuTh,09:30 AM-10:45 AM,CL,142
United States Colonial,We,12:00 PM-02:25 PM,CL,142
Italian Cultural Heritage 2,MoWe,03:00 PM-04:15 PM,CL,144
Health Psychology,Th,06:00 PM-08:30 PM,CL,144
Seminar In Composition,We,06:00 PM-08:30 PM,CL,144
Darwinism And Its Critics,MoWe,09:30 AM-10:45 AM,CL,144
Intermediate Microeconomics,TuTh,09:30 AM-10:45 AM,CL,144
Law & Society In Greece & Rome,MoWeFr,11:00 AM-11:50 AM,CL,144
Intermediate Microeconomics,TuTh,11:00 AM-12:15 PM,CL,144
Psychology Senior Seminar,We,02:00 PM-02:50 PM,CL,149
Psychology Of Death And Dying,MoWe,03:00 PM-04:15 PM,CL,149
Topics In Cognitive Psychology,TuTh,04:00 PM-05:15 PM,CL,149
Topcs In Advncd Rsrch Methds,Mo,06:00 PM-08:30 PM,CL,149
Psychology Of Death And Dying,Th,06:00 PM-08:30 PM,CL,149
Senior Seminar,Tu,06:00 PM-08:30 PM,CL,149
Princpl Of Scientific Reasning,We,06:00 PM-08:30 PM,CL,149
Beginning Latin 2,MoTuWeThFr,01:00 PM-01:50 PM,CL,151
Afrcn Prsen Lat Amern Lit/Cul,MoWeFr,02:00 PM-02:50 PM,CL,151
Afrcn Prsen Lat Amern Lit/Cul,MoWeFr,02:00 PM-02:50 PM,CL,151
First Year Korean 2,TuTh,02:00 PM-02:50 PM,CL,151
Marx And Marxism,MoWe,03:00 PM-04:15 PM,CL,151
Don Quijote And The Novel,TuTh,04:00 PM-05:15 PM,CL,151
Interpersonal Communication,MoWe,04:30 PM-05:45 PM,CL,151
Freedom And Determinism,Th,06:00 PM-08:30 PM,CL,151
Freedom And Determinism,Th,06:00 PM-08:30 PM,CL,151
Writing In The Legl Professns,Tu,06:00 PM-08:30 PM,CL,151
Written Professnl Communictn,We,06:00 PM-08:30 PM,CL,151
Formative Masterpieces,TuTh,11:00 AM-12:15 PM,CL,151
Frmtv Mastrpieces: Russa 19thc,TuTh,11:00 AM-12:15 PM,CL,151
Elementary French 1,MoTuWeThFr,01:00 PM-01:50 PM,CL,202
Written Professnl Communictn,MoWeFr,02:00 PM-02:50 PM,CL,202
American Sign Language 4,TuTh,02:30 PM-03:45 PM,CL,202
Undergraduate Seminar,TuTh,04:00 PM-05:15 PM,CL,202
American Sign Language 4,MoWe,04:30 PM-05:45 PM,CL,202
Special Topics In Convr & Cul,We,06:00 PM-06:50 PM,CL,202
Intermediate Nonfiction,Th,06:00 PM-08:30 PM,CL,202
Literary Publishing in Print and Online,Mo,06:00 PM-08:50 PM,CL,202
Seminar In Composition,MoWeFr,09:00 AM-09:50 AM,CL,202
American Sign Language 4,TuTh,09:30 AM-10:45 AM,CL,202
Intermediate German 2,MoWeFr,10:00 AM-10:50 AM,CL,202
Intermediate French 2,MoWeFr,11:00 AM-11:50 AM,CL,202
Intermediate Fiction,TuTh,11:00 AM-12:15 PM,CL,202
Advanced French Conversation,MoWeFr,12:00 PM-12:50 PM,CL,202
Morality and Medicine,TuTh,01:00 PM-02:15 PM,CL,204
Intermediate Portuguese 4,MoWeFr,02:00 PM-02:50 PM,CL,204
Founds Social Work Research,Tu,02:00 PM-04:50 PM,CL,204
Green Buldng Design & Analysis,MoWe,03:00 PM-04:15 PM,CL,204
Small Group Communication,MoWe,04:30 PM-05:45 PM,CL,204
Capstone Research Practicum,Mo,06:00 PM-08:30 PM,CL,204
Seminar In Composition,Th,06:00 PM-08:30 PM,CL,204
Models Of Intervention,Tu,06:00 PM-08:50 PM,CL,204
Fundamntls Of Bus Communictn,We,06:30 PM-09:00 PM,CL,204
Models Of Intervention,Mo,08:00 AM-10:50 AM,CL,204
French Conversation,MoWeFr,11:00 AM-11:50 AM,CL,204
Neurobiology Of Disease,Tu,11:30 AM-01:30 PM,CL,204
Intermediate Italian 2,MoWeFr,12:00 PM-12:50 PM,CL,204
Roman Civilization,MoWeFr,01:00 PM-01:50 PM,CL,206
Welfr State In Comp Perspctv,TuTh,01:00 PM-02:15 PM,CL,206
Detective Fiction,MoWeFr,02:00 PM-02:50 PM,CL,206
Detective Fiction,MoWeFr,02:00 PM-02:50 PM,CL,206
Philosophy of Biology,MoWe,03:00 PM-04:15 PM,CL,206
Philosophy of Biology,MoWe,03:00 PM-04:15 PM,CL,206
Humn Resorc Mgt Nprf Orgns,Th,06:00 PM-08:30 PM,CL,206
Psychology Of Gender,Tu,06:00 PM-08:30 PM,CL,206
Science Fiction,We,06:00 PM-08:30 PM,CL,206
Media And Consumer Culture,TuTh,09:30 AM-10:45 AM,CL,206
American Literature,MoWeFr,10:00 AM-10:50 AM,CL,206
Linguistic Structrs Of Englsh,MoWeFr,11:00 AM-11:50 AM,CL,206
Science Fiction,TuTh,11:00 AM-12:15 PM,CL,206
Seminar In Composition,MoWeFr,01:00 PM-01:50 PM,CL,213
Intellcl Foundtns Of Capitlism,Th,01:00 PM-03:25 PM,CL,213
Intellcl Foundtns Of Capitlism,Th,01:00 PM-03:25 PM,CL,213
Childhood'S Books,MoWeFr,02:00 PM-02:50 PM,CL,213
Critical Game Studies,MoWe,03:00 PM-04:15 PM,CL,213
Rhet Of Amer Countrcul,TuTh,04:00 PM-05:15 PM,CL,213
Narrative And Technology,MoWe,04:30 PM-05:45 PM,CL,213
Medieval History 1,Tu,06:00 PM-08:25 PM,CL,213
Medieval History 1,Tu,06:00 PM-08:25 PM,CL,213
Law Ethcs Pblc Polc Mass Media,Mo,06:00 PM-08:30 PM,CL,213
Detective Fiction,Th,06:00 PM-08:30 PM,CL,213
Detective Fiction,Th,06:00 PM-08:30 PM,CL,213
Ethics And Accountability,We,06:00 PM-08:30 PM,CL,213
Postmodern Literature,TuTh,09:30 AM-10:45 AM,CL,213
Seminar In Composition,MoWeFr,11:00 AM-11:50 AM,CL,213
Harlem Renaissance,TuTh,11:00 AM-12:15 PM,CL,213
Detective Fiction,MoWeFr,12:00 PM-12:50 PM,CL,213
Rhetoric Of Cold War,TuTh,01:00 PM-02:15 PM,CL,216
Freshman Engineering Seminar 2,We,02:00 PM-02:50 PM,CL,216
Readings In Cntmpry Poetry,Th,02:00 PM-04:50 PM,CL,216
"Islam, Law and Politics",TuTh,02:30 PM-03:45 PM,CL,216
"Islam, Law,and Politics",TuTh,02:30 PM-03:45 PM,CL,216
"Islam, Law and Politics",TuTh,02:30 PM-03:45 PM,CL,216
Western Civilization 1,MoWe,03:00 PM-04:15 PM,CL,216
Seminar In Composition,MoWe,04:30 PM-05:45 PM,CL,216
Seminar In Composition,Mo,06:00 PM-08:30 PM,CL,216
Readings In Cntmpry Poetry,Th,06:00 PM-08:50 PM,CL,216
Seminar In Composition,MoWeFr,10:00 AM-10:50 AM,CL,216
Second Year Korean 2,TuTh,10:00 AM-10:50 AM,CL,216
Public Speaking,MoWeFr,11:00 AM-11:50 AM,CL,216
Seminar In Composition,MoWeFr,12:00 PM-12:50 PM,CL,216
Public Speaking,MoWeFr,01:00 PM-01:50 PM,CL,218
American Sign Language 4,TuTh,01:00 PM-02:15 PM,CL,218
Seminar In Composition,MoWeFr,02:00 PM-02:50 PM,CL,218
Introduction To Dramatic Ar,TuTh,02:30 PM-03:45 PM,CL,218
Superior Indiv In Lit And Phil,MoWe,03:00 PM-04:15 PM,CL,218
Esl: Workshop In Composition,TuTh,04:00 PM-05:15 PM,CL,218
Written Professnl Communictn,MoWe,04:30 PM-05:45 PM,CL,218
Interpersonal Communication,Mo,06:00 PM-08:30 PM,CL,218
Readings In Cntmpry Non-Fictn,Tu,06:00 PM-08:30 PM,CL,218
Adv Drct Prac: Cognitv/Behvrl,Th,06:00 PM-08:50 PM,CL,218
Grant Proposal Writing,We,06:00 PM-08:50 PM,CL,218
Esl: Workshop In Composition,MoWe,08:00 AM-09:15 AM,CL,218
Grief And Loss,Fr,08:00 AM-10:50 AM,CL,218
Intro To Fiction Writing,MoWe,09:30 AM-10:45 AM,CL,218
Linguistic Variation & Change,TuTh,09:30 AM-10:45 AM,CL,218
Elementary French 2,MoTuWeThFr,11:00 AM-11:50 AM,CL,218
Elementary French 2,MoTuWeThFr,12:00 PM-12:50 PM,CL,218
Elementary Italian 2,MoTuWeThFr,01:00 PM-01:50 PM,CL,219
Latin American Topics,MoWeFr,02:00 PM-02:50 PM,CL,219
Introduction To Shakespeare,TuTh,02:30 PM-03:45 PM,CL,219
Introduction To Shakespeare,TuTh,02:30 PM-03:45 PM,CL,219
Readings In Cntmpry Fiction,TuTh,04:00 PM-05:15 PM,CL,219
Intermediate French 2,MoWe,06:00 PM-07:15 PM,CL,219
Elementary Italian 1,TuTh,06:00 PM-08:05 PM,CL,219
Introduction To Poetry Writing,TuTh,09:30 AM-10:45 AM,CL,219
Intermediate Italian 1,MoWeFr,10:00 AM-10:50 AM,CL,219
Intermediate Italian 1,MoWeFr,10:00 AM-10:50 AM,CL,219
Intermediate French 1,MoWeFr,11:00 AM-11:50 AM,CL,219
Intermediate French 2,MoWeFr,12:00 PM-12:50 PM,CL,219
Writing For Change,MoWe,03:00 PM-04:15 PM,CL,221
Writing For Change,MoWe,03:00 PM-04:15 PM,CL,221
Jerusalem Histry & Imagination,MoWe,03:00 PM-04:15 PM,CL,221
History And Imagination,MoWe,03:00 PM-04:15 PM,CL,221
Jerusalem: History And Imagn,MoWe,03:00 PM-04:15 PM,CL,221
Jerusalem: History And Imagn,MoWe,03:00 PM-04:15 PM,CL,221
Theater & Activism,TuTh,04:00 PM-05:15 PM,CL,221
How To Do Things With Lit 2,MoWe,04:30 PM-05:45 PM,CL,221
Practices Of Non-Profit Mgmn,Mo,06:00 PM-08:30 PM,CL,221
Financial Mgt In Public Sector,We,06:00 PM-08:30 PM,CL,221
Spec Topics In Computr Science,Tu,06:00 PM-08:45 PM,CL,221
The Wild Wes,TuTh,09:30 AM-10:45 AM,CL,221
Humn Bhvr: Hlth/Mental Hlth,Mo,11:00 AM-01:50 PM,CL,221
Seminar In Composition,MoWeFr,01:00 PM-01:50 PM,CL,226
Adv Grammar And Stylistics,TuTh,01:00 PM-02:15 PM,CL,226
Humn Bhvr: Chld Fmly At Risk,Mo,02:00 PM-04:50 PM,CL,226
The Art Of The Essay,TuTh,02:30 PM-03:45 PM,CL,226
Italian Theatrical Workshop,TuTh,04:00 PM-05:15 PM,CL,226
The Short Story,Mo,06:00 PM-08:30 PM,CL,226
Public Speaking,Th,06:00 PM-08:30 PM,CL,226
Humn Bhvr: Chld Fmly At Risk,We,06:00 PM-08:50 PM,CL,226
Global French,MoWeFr,11:00 AM-11:50 AM,CL,226
Language And The Min,TuTh,11:00 AM-12:15 PM,CL,226
Language And The Min,TuTh,11:00 AM-12:15 PM,CL,226
Written Professnl Communictn,MoWeFr,12:00 PM-12:50 PM,CL,226
Elementary German 2,MoTuWeThFr,01:00 PM-01:50 PM,CL,227
Elementary German 2,MoTuWeThFr,01:00 PM-01:50 PM,CL,227
Intro To Fiction Writing,TuTh,02:30 PM-03:45 PM,CL,227
Seminar In Composition: Film,MoWe,03:00 PM-04:15 PM,CL,227
Seminar In Composition,TuTh,04:00 PM-05:15 PM,CL,227
Business Spanish,MoWe,04:30 PM-05:45 PM,CL,227
Introduction To Literature,Tu,06:00 PM-08:30 PM,CL,227
Introduction To Literature,Tu,06:00 PM-08:30 PM,CL,227
Public Speaking,We,06:00 PM-08:30 PM,CL,227
Intensive Elementary Spanish,MoTuWeThFr,09:00 AM-09:50 AM,CL,227
Intermediate Spanish 3,MoWeFr,11:00 AM-11:50 AM,CL,227
Writing With Style,TuTh,11:00 AM-12:15 PM,CL,227
Intermediate Spanish 4,MoWeFr,12:00 PM-12:50 PM,CL,227
Elementary German 2,MoTuWeThFr,01:00 PM-01:50 PM,CL,229
Elementary Spanish 2,MoTuWeThFr,02:00 PM-02:50 PM,CL,229
Thrys Knowl & Reality/Writ Lab,TuTh,03:00 PM-03:50 PM,CL,229
Seminar In Composition,TuTh,04:00 PM-05:15 PM,CL,229
Seminar In Composition,MoWe,04:30 PM-05:45 PM,CL,229
Sem  Cmpstn: Gender Studies,Mo,06:00 PM-08:30 PM,CL,229
Seminar In Composition,Th,06:00 PM-08:30 PM,CL,229
Intro To Creative Writing,Tu,06:00 PM-08:30 PM,CL,229
Semnr In Compositn: Education,MoWeFr,09:00 AM-09:50 AM,CL,229
Literary Analysis,TuTh,09:30 AM-10:45 AM,CL,229
German Writing,MoWeFr,10:00 AM-10:50 AM,CL,229
Intermediate Spanish 4,MoWeFr,11:00 AM-11:50 AM,CL,229
Seminar In Composition: Film,TuTh,11:00 AM-12:15 PM,CL,229
Seminar In Composition,MoWeFr,12:00 PM-12:50 PM,CL,229
Romantic Nature,TuTh,01:00 PM-02:15 PM,CL,230
Science Fiction,TuTh,02:30 PM-03:45 PM,CL,230
American Literature,TuTh,04:00 PM-05:15 PM,CL,230
Comparative Politics,Tu,06:00 PM-08:30 PM,CL,230
Childhood'S Books,We,06:00 PM-08:30 PM,CL,230
Corporate Finance,Th,06:30 PM-09:00 PM,CL,230
Seminar In Composition,MoWeFr,10:00 AM-10:50 AM,CL,230
Seminar In Composition,MoWeFr,11:00 AM-11:50 AM,CL,230
Seminar In Composition,MoWeFr,12:00 PM-12:50 PM,CL,230
World Film History,We,01:00 PM-04:50 PM,CL,232
Varieties Of Early Christnity,TuTh,02:30 PM-03:45 PM,CL,232
Varieties Of Early Christnity,TuTh,02:30 PM-03:45 PM,CL,232
Mechanical Design Ii,Th,04:00 PM-06:25 PM,CL,232
Freshman Leadership Lab,Th,06:00 AM-07:30 AM,CL,232
Developmental Psychology,We,06:00 PM-08:30 PM,CL,232
Functional Neuroanatomy,MoWeFr,09:00 AM-09:50 AM,CL,232
Introduction To Sociology,TuTh,09:00 AM-09:50 AM,CL,232
Introduction To Social Psych,TuTh,11:00 AM-12:15 PM,CL,232
Seminar In Composition,MoWeFr,01:00 PM-01:50 PM,CL,235
Invent Israel,TuTh,01:00 PM-02:15 PM,CL,235
Inventing Israel,TuTh,01:00 PM-02:15 PM,CL,235
Public Speaking,MoWeFr,02:00 PM-02:50 PM,CL,235
Philosophy & Rise Mdrn Science,TuTh,02:30 PM-03:45 PM,CL,235
Philosophy & Rise Mdrn Science,TuTh,02:30 PM-03:45 PM,CL,235
Evolutionary Psychology,MoWe,03:00 PM-04:15 PM,CL,235
Public Speaking,Mo,06:00 PM-08:30 PM,CL,235
Written Professnl Communictn,Th,06:00 PM-08:30 PM,CL,235
Intro Educational Psychology,Tu,06:00 PM-08:40 PM,CL,235
Social Work W/Comnys & Orgns,We,06:00 PM-08:50 PM,CL,235
Apprches To French Literature,TuTh,09:30 AM-10:45 AM,CL,235
Pidgin And Creole Languages,MoWeFr,10:00 AM-10:50 AM,CL,235
Elementary Italian 2,MoTuWeThFr,11:00 AM-11:50 AM,CL,235
Intermediate Russian 2,MoTuWeThFr,12:00 PM-12:50 PM,CL,235
Russian Fairy Tales,Sa,01:00 PM-03:55 PM,CL,236
Introduction To Dramatic Ar,MoWeFr,02:00 PM-02:50 PM,CL,236
Humn Bhvr: Adlt Dvlp Aging,Th,02:00 PM-04:50 PM,CL,236
Founds Social Work Research,Tu,02:00 PM-04:50 PM,CL,236
Poetry Workshop,MoWe,04:30 PM-05:45 PM,CL,236
Spec Topics - Forgn Lang Educ,We,04:30 PM-07:10 PM,CL,236
Applied Behavior Analysis 4,Th,05:00 PM-07:40 PM,CL,236
Applied Behavioral Analysis 4,Th,05:00 PM-07:40 PM,CL,236
Public Speaking,We,06:00 PM-08:30 PM,CL,236
Child And Family Policy,Mo,06:00 PM-08:50 PM,CL,236
Adv Drct Prac: Social Systems,Th,08:00 AM-10:50 AM,CL,236
Seminar In Composition,MoWeFr,09:00 AM-09:50 AM,CL,236
Intermediate Spanish 4,MoWeFr,10:00 AM-10:50 AM,CL,236
Elementary French 2,MoTuWeThFr,11:00 AM-11:50 AM,CL,236
Hist & Politics English Lang,MoWe,01:00 PM-02:15 PM,CL,237
Globl Perspectives Social Work,Tu,01:00 PM-03:50 PM,CL,237
Topics In Experimental Econmcs,Th,02:30 PM-03:45 PM,CL,237
Arabic Life And Though,MoWe,03:00 PM-04:15 PM,CL,237
Capstone Projec,TuTh,04:00 PM-05:15 PM,CL,237
Intro To Fiction Writing,Mo,06:00 PM-08:30 PM,CL,237
Reading Poetry,Th,06:00 PM-08:30 PM,CL,237
Readings In Cntmpry Non-Fictn,We,06:00 PM-08:30 PM,CL,237
Seminar In Composition,MoWeFr,09:00 AM-09:50 AM,CL,237
Literature Of The Americas,TuTh,09:30 AM-10:45 AM,CL,237
Grammar And Composition,MoWeFr,10:00 AM-10:50 AM,CL,237
Elementary French 1,MoTuWeThFr,11:00 AM-11:50 AM,CL,237
Elementary Italian 2,MoTuWeThFr,12:00 PM-12:50 PM,CL,237
Religion In Asia,TuTh,01:00 PM-02:15 PM,CL,239
Religion In Asia,TuTh,01:00 PM-02:15 PM,CL,239
Int To Korean Cult And Civlz,TuTh,02:30 PM-03:45 PM,CL,239
Seminar In Composition,MoWeFr,03:00 PM-03:50 PM,CL,239
Physics Of The Human Body,We,04:00 PM-04:50 PM,CL,239
Financial Accounting,TuTh,04:00 PM-05:15 PM,CL,239
Life Span Developmen,Mo,04:00 PM-06:40 PM,CL,239
Strategic Plnng Public Sector,Tu,06:00 PM-08:30 PM,CL,239
Western Eurp Govermnt & Poli,We,06:00 PM-08:30 PM,CL,239
Investment Managemen,Th,06:30 PM-09:00 PM,CL,239
Database Managemen,We,06:30 PM-09:00 PM,CL,239
Public Relations Writing,TuTh,09:30 AM-10:45 AM,CL,239
Public Speaking,MoWeFr,10:00 AM-10:50 AM,CL,239
Philosophy Of Religion,TuTh,11:00 AM-12:15 PM,CL,239
Latin America Today,MoWeFr,12:00 PM-12:50 PM,CL,239
Literature And Medicine,TuTh,01:00 PM-02:15 PM,CL,242
Sexuality And Representation,TuTh,04:00 PM-05:15 PM,CL,242
Words And Images,MoWe,04:30 PM-05:45 PM,CL,242
Language Of Science & Technlgy,Mo,06:00 PM-08:30 PM,CL,242
Spec Topics In Computr Science,We,06:00 PM-08:45 PM,CL,242
Modern South African History,TuTh,09:30 AM-10:45 AM,CL,242
Women And Literature,MoWeFr,10:00 AM-10:50 AM,CL,242
Seminar In Composition,MoWeFr,11:00 AM-11:50 AM,CL,242
Reading Poetry,MoWeFr,12:00 PM-12:50 PM,CL,242
